Unit_Name,Total_Crimes
Cyber Crime Police Station,952
Banaswadi PS,535
Rajagopal Nagar PS,496
K.R. Puram PS,478
North CEN Crime PS,476
Madanayakanahally PS,469
Peenya PS,461
Mahadevapura PS,446
South CEN Crime PS,445
Byadarahalli PS,445
NorthEast CEN Crime PS,436
Ramamurthy Nagar PS,433
SouthEast CEN Crime PS,418
West CEN Crime PS,416
H.A.L. PS,403
Kamakshipalya PS,403
Kadugondana Halli PS,378
Chintamani Rural PS,378
Channagiri PS,375
Athani PS,374
Hebbagodi PS,372
Nelamangala Traffic PS,368
Parappana Agrahara PS,367
Madivala PS,365
Mico Layout PS,361
Attibele PS,359
Hosakote PS,354
Whitefield PS,354
Ashoknagar PS,353
Subramanyapura PS,353
Kengeri PS,347
Challakere PS,345
Whitefield CEN Crime PS,344
Byatarayanapura  PS,341
Chitradurga Rural PS,340
Mudhol PS,339
Vijayanagar PS,333
Hosadurga PS,332
Hiriyur Rural PS,330
HSR Layout PS,326
Hennur PS,323
Yelahanka Traffic PS,323
Electronic City PS,321
Bellary Rural PS,316
Bagepalli PS,316
Soundatti PS,314
Vidyanagar PS,313
Chandra Layout PS,313
Chickmagalur Rural  PS,313
Kumaraswamy Layout PS,308
Marathahalli PS,308
Jeevan Bheemanagar PS,307
East CEN Crime PS,306
Bommanahalli PS,305
Koramangala PS,300
Doddaballapura Rural PS,300
Devarajeevanahalli PS,298
Avalahally PS,298
Srirampura PS,298
Central CEN Crime PS,297
Suryanagar PS,295
Byatrarayanapura Traffic PS,292
Gowribidanur Rural PS,292
Davanagere Rural PS,292
Bagalagunte PS,290
Yeshwanthapura PS,289
Channarayapatna Town PS,289
Hulimavu PS,283
Pulakeshinagar  PS,283
Nandini Layout PS,281
Konanakunte PS,280
Holalkere PS,279
Market PS,278
Halasur PS,277
Khanapur PS,276
Murgod PS,274
Basaveshwara Nagar PS,274
Jnanabharathi PS,271
Kadugodi PS,271
R.T. Nagar PS,271
Bellanduru PS,268
Channammanakere Achu Kattu PS,266
Belur PS,265
Soladevanahalli PS,263
Ranebennur Rural PS,262
Tarikere Town PS,260
Shidlagatta Rural PS,259
K.R.Puram Traffic PS,258
Kamakshipalya Traffic PS,258
Devanahalli Traffic PS,257
Kumaraswamy Layout Traffic PS,256
Chitradurga Town PS,255
Thalaghattapura PS,254
Girinagar PS,254
Bharamasagara PS,253
Yelahanka New Town PS,253
Jayaprakash Nagar PS,251
Raibag PS,250
Honnali PS,247
Jayanagar PS,247
Bailahongal PS,247
Hanumanthanagar PS,246
Bangarpet  PS,246
Peenya Traffic PS,244
Hebbal Traffic PS,244
Alur PS,242
Suddaguntepalya PS,242
Arakalagud PS,241
Gadag Rural PS,238
Sarjapura PS,237
Siruguppa PS,237
Vidyaranyapura PS,237
Nelamangala Rural PS,234
Banashankari PS,234
Kodigehalli PS,234
Chikkodi PS,234
Mahalakshmipuram PS,233
Ajjampura PS,233
APMC Yard PS,233
Rajajinagar Traffic PS,232
Varthur PS,231
Indiranagar PS,231
Rajarajeshwari Nagar PS,231
Cottonpet PS,230
Yelahanka PS,230
Adugodi PS,227
Hassan Rural PS,227
Halebeedu PS,226
Yamakanmardi PS,225
Annapoorneshwari Nagar PS,225
Hassan Traffic PS,223
Gudibande PS,223
Manchenalli PS,222
Anekal PS,222
Sampigehalli PS,221
Konanur PS,220
Kakati PS,220
Cowlbazar PS,219
Hiriyur Town PS,219
Kadur PS,218
Chamarajanagar East PS,218
Dharwad Rural PS,217
Dobbespet PS,217
Thilaknagar PS,215
Ghataprabha PS,214
Chickmagalur Town PS,214
Jewargi PS,212
Halasurgate PS,212
Sanjay Nagar PS,211
Sankeshwar PS,211
Upparpet PS,210
Afzalpur PS,210
Hubli Rural PS,209
