CrimeHead_Name,Total_Cases
Other Roads,7332
Simple Hurt ,6218
"Information Technology Act 2000, 2009",5658
Of Automobiles - Of Two Wheelers,5377
National Highways,4799
Women,4692
State Highways,4240
Security For Good Behaviour (Sec 107 ),3792
CHEATING,3328
Public Safety,3270
Karnataka Excise Act 1965,3113
Others,2620
Man,2584
Street Gambling (87),2558
Gambling - Matka (78 Class C),2261
At Residential Premises,1833
Security For Good Behaviour (Sec 110),1807
Other - Related,1365
Other Places,1191
Cultivated/Processed,1137
House Theft,1094
Criminal Intimidation,959
Dowry Prohibition,899
Public Place,808
Other Items Not Included Above,780
Rape,747
Security For Good Behaviour (Sec 109),710
"Electronic Goods (Radio,TV,VCR,ACs,Office Automation Equipments)",696
Due To Other Causes  ,686
Synthetic,681
In Other Places,678
Mmdr (Mines & Minerals Regulation Development) Act 1957,577
Grievous  Hurt,557
Missing-Girl,551
Husband And Relative(S) In Law ,546
Land Disputes,477
At Commercial Places / Establishments,475
Scheduled Caste  ,454
Husband,442
Private Place,433
Land,431
Jewellery,414
Chain Snatching,335
Due To OtherCauses,326
others ,317
"COTPA, Cigarettes and Other Tobacco Products",285
Preparation And Assembly For Dacoity,278
Cash,260
Other Govt Official,254
Missing-Boy,245
Of Sand,243
Karnataka Open Place Disfigurement Act 1951,233
Of Automobiles - Of Cars/Jeeps,224
Betting,220
Criminal Breach Of Trust,214
Human - Related,208
House,207
Police Personnel,205
Essential Commodites Act 1955,198
Sudden Quarrel,188
Servant Theft,180
Mischief,176
Assembly,175
Abetment of Suicide,173
Of Cattle,169
Revenge/Enemity,157
Scheduled Caste  Women,153
Forgery ,151
Affray,150
House Gambling  (79 & 80),148
Temple Theft,148
Karnataka Cow Slaughter Act,146
Civil Disputes,139
Dowry Harasement,131
Known Person,131
Attempt To Commit,127
Other Local Acts,115
Of Accessories Of Motor Vehicle,113
Extortion,112
Organised,112
Disaster Management Act 2005,111
Boy,111
Karnataka Minor Mineral Consistent Rule 1994,109
Other Reasons,100
229 A,98
Karntaka Epidemic Diseases Act 2020,94
Of Automobiles - Of Three Wheelers,91
Prevention Of Cruelty To Animals Act 1960,86
Scheduled Tribes,85
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,84
On Highways,81
Due To Personal Vendetta Or Enemity  ,81
Of Cultural - Others,76
By Company,75
Communication And Elec.Wire,71
Security For Good Behaviour (Sec 108 ),71
Other Forgery,68
Girl,68
Of Automobiles - Of Lorries/Trucks,65
By Others,64
Attempt to commit suicide,63
Preventive Arrest (Sec 151),58
Machinery - Related,57
Public Sector Undertaking Official,56
Of Cycle,54
Due To Other Causes,53
Attempting to commit offences,52
Child Marriage (Restraint) Act  1929,51
Country Made - Non-Prohibited Bore - In Other Area,49
By Individual,49
"Preventive Arrest (Sec 41 Class D,102)",48
By Govt. Institution,46
Karnataka Prohibition Of Charging Exorbitant Interest Act 2004,46
Due To PersonalVendetta or Enemity,46
Un-Organised,45
Improper Infrastructure In Construction,45
Death Due To Other Cause,43
Karnataka Forest Act 1963,43
At Banks,42
By Hanging,39
Karnataka Land & Revenue Act 1964 & 2007,38
Foreigners Act 1946,37
Scheduled Tribes Women,37
Explosives Act 1884,34
Electrocution Accident,33
By Husband And Relative/s In Law,33
Agricultural Produce,33
OFFENCES RELATED TO MARRIAGE,32
Child Labour (Prohibition & Regulation) Act 1986,32
Offences Promoting Enemity,32
For Ransom - Of Others,31
Country Made - Prohibited Bore- In Other Area,31
Juvenile Justice Act 1986,30
Over Property Dispute  ,29
174 A,28
Public Nuisance,28
On Other Roads,27
Death Caused By Electric Shock,27
Political,27
Office ,26
Due To Sexual Jealousy,26
Religious Issue,25
Other Elected Bodies,24
Communal Issue,22
The Karnataka Prevention of  Slaughter and Preservation of Cattle Ordinance 2020,22
To Compel For Marriage,21
Regional,21
By Relatives,21
Of Currency Notes And Bank Notes (Sec 489 (A) To 489 (E) IPC),20
Parliament,19
Love Intrigue,19
Procuration Of Minor Girls - For Other Purpose,19
Over Property Disputes,19
Attempt to Commit,18
Factory Made - Non-Prohibited Bore - In Other Area,17
For Dowry Other Means ,15
For gain,15
Explosive/Explosive Substances - Related,15
Of Automobiles - Of Tractors,15
For Political Reasons,14
FALSE EVIDENCE,14
Dwelling House,14
Animal - Related,14
Karnataka Prohibition Of Beggary Act 1975,14
Indian,13
To Settle Dispute,13
By Neighbours,13
For Ransom - Of Children,13
Explosives Substances Act 1908,12
Factory Made - Prohibited Bore- In Other Area,12
Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,12
Due To Village Disputes,12
Labour - Private Sector,11
Joining or continuing in an unalwful assembly,11
Agrarian,11
Prohibited Places ,11
Liquified Petroleum Gas Supply & Control Order 2000,10
Karnataka Money Lender Act 1961,10
Karnataka Mining Act,10
For Gain,10
Karnataka Lottery Act,10
Karnataka Prisoners Act 1963 & 1974,9
Caste Issue,9
From Police Custody,9
Indian Electricity Act ,9
Regional Issue,9
By A Gang,9
Woman,8
For Dowry By Other Means,8
Public Conveyance,8
Relative(S) In Law,7
From Jail Custody,7
Caste,7
To Extort Property,7
Karnataka Education Act 1983 As Amended Upto Date,7
Village Dispute,7
Wild Life Protection Act 1972,7
Wrongful Confinement,7
Attempt To Commit ,7
Of Automobiles - Of Buses,6
Persons,6
Industrial Accident(Factory) ,6
Inflammable Substances - Related,6
Students,6
Hotel ,5
Due To Communalism,5
Due to Adultery,5
At ATM,5
Improper Medical Treatment,5
Settling any Disputes,5
Building Collapse ,5
Country Made - Non Prohibited Bore - In Disturbed Area,5
Communal,5
On Woman (General),5
Unknown Person,4
Gang Rape,4
By Burning ,4
Child,4
By Other Means,4
Banning of Unregulated Deposit Schemes Act,4
Country Made - Prohibited Bore - In Disturbed Area                     ,4
Electrocution,4
Security For Good Behaviour (Sec 145 ),4
Of Cultural - Idols,4
On Man (General),4
Gang Rivalry,4
INDIAN MOTOR VEHICLE (IMV),4
Judicial Official,4
For Ransom - Of Women,4
Over Civil Dispute,3
Political Issue,3
Sudden Quarrel ,3
Religious Place,3
By Private Institution,3
Prevention of Food Adulteration Act 1954,3
Public Justice,3
Caused By Animal,3
For Adoption,3
Other Elected Member,3
Of Fire Arms,3
Professional,3
Office,3
Labour - Public Sector,3
Karnataka Panchayat Raj Act,3
From Lawful Guardianship,3
Forest (Conservation) Act 1980,3
Acid Attack (326(a)),3
Ancient Monument & Archaelogical Sites And Remains Act 1958,3
Industrial,3
To Extort Confession,2
Karnataka Medical Registration Act 1965,2
Foreigner,2
Karnataka Muncipalities Act 1964,2
Indian Forest Act 1927,2
Karnataka Irrigation Act 1963,2
Hostel ,2
UNLAWFUL ACTIVITIES,2
Protection of Civil Rights Act 1955,2
Protection of Children from Sexual Offences Act 2012 (POCSO),2
Para Military Personnel,2
Conspiracy To Wage War,2
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,2
Business Establishment ,2
BONDED LABOUR SYSTEM,2
Factory Made - Prohibited Bore - In Disturbed Area,2
Karnataka Private Medical Institution Act 2007,2
Karnataka Treasure Trove Act 1962,2
Factory Made - Non Prohibited Bore - In Disturbed Area,2
OF ABETMENT,2
For Begging,2
Due To Casteism,2
On Minor,2
Dowry,2
Property Disputes,2
Related To Substantive Offence,2
Restricted Area,2
By Husband,2
Explosion Accident,2
Food Grain,2
Female,2
Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1
Industrial Establishment,1
Army,1
Alcoholic Drink(Liquor),1
Animal,1
Antiques  & Art Treasures Act 1972,1
Tribal,1
Witch Craft (Sorcery),1
Woman And Child,1
Woman ,1
Gas Leakage Accident,1
Govt. Property,1
Govt. Vehicle,1
For Human Sacrifice,1
For Political Reasons   ,1
Karnataka Agriculture Marketing Regulation Act,1
Defence Personnel,1
Essential Services Maintainance Act 1981,1
Of Cultural - Painting,1
Educational Institution,1
Electoral Gain,1
Major - Man,1
MLA                                                                        ,1
Karnataka Revenue Act,1
Forgery Of Passport,1
Nationalised Bank Personnel,1
Murder(Homicide),1
Fire Accident,1
Figures,1
Dowry By Burning,1
Other Enforcement Official,1
Custodial Rape,1
"POST  &  TELEGRAPH, TELEGRAPH WIRES",1
Poisonous Substance - Related,1
Place Of Worship,1
Probation of offenders Act 1958,1
Property,1
Consumer (Protection) Act 1986,1
Co-Operative Organisation ,1
Cattle Tresspass Act 1871,1
Registration of Foreigners Act 1939,1
By Husband During Separation,1
By Hospital Staff,1
Attempt to Acid Attack (326(b)),1
"The Karnataka Prevention Of Dangerous Activities Of Bootleggers,Drug-Offenders,Gamblers,Goond",1
